No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
49,Performance,Caching,Web,Repeat visits should be fast,Set appropriate cache headers,No caching strategy,Cache-Control headers,Every request hits server,Medium
50,Performance,Font Loading,Web,Web fonts can block rendering,Use font-display swap or optional,Invisible text during font load,font-display: swap,FOIT (Flash of Invisible Text),Medium
51,Performance,Third Party Scripts,Web,External scripts can block rendering,Load non-critical scripts async/defer,Synchronous third-party scripts,async or defer attribute,<script src='...'> in head,Medium
52,Performance,Bundle Size,Web,Large JavaScript slows interaction,Monitor and minimize bundle size,Ignore bundle size growth,Bundle analyzer,No size monitoring,Medium
53,Performance,Render Blocking,Web,CSS/JS can block first paint,Inline critical CSS defer non-critical,Large blocking CSS files,Critical CSS inline,All CSS in head,Medium
54,Forms,Input Labels,All,Every input needs a visible label,Always show label above or beside input,Placeholder as only label,<label>Email</label><input>,placeholder='Email' only,High
55,Forms,Error Placement,All,Errors should appear near the problem,Show error below related input,Single error message at top of form,Error under each field,All errors at form top,Medium
56,Forms,Inline Validation,All,Validate as user types or on blur,Validate on blur for most fields,Validate only on submit,onBlur validation,Submit-only validation,Medium
57,Forms,Input Types,All,Use appropriate input types,Use email tel number url etc,Text input for everything,type='email',type='text' for email,Medium
58,Forms,Autofill Support,Web,Help browsers autofill correctly,Use autocomplete attribute properly,Block or ignore autofill,autocomplete='email',autocomplete='off' everywhere,Medium
59,Forms,Required Indicators,All,Mark required fields clearly,Use asterisk or (required) text,No indication of required fields,* required indicator,Guess which are required,Medium
60,Forms,Password Visibility,All,Let users see password while typing,Toggle to show/hide password,No visibility toggle,Show/hide password button,Password always hidden,Medium
61,Forms,Submit Feedback,All,Confirm form submission status,Show loading then success/error state,No feedback after submit,Loading -> Success message,Button click with no response,High
62,Forms,Input Affordance,All,Inputs should look interactive,Use distinct input styling,Inputs that look like plain text,Border/background on inputs,Borderless inputs,Medium
63,Forms,Mobile Keyboards,Mobile,Show appropriate keyboard for input type,Use inputmode attribute,Default keyboard for all inputs,inputmode='numeric',Text keyboard for numbers,Medium
64,Responsive,Mobile First,Web,Design for mobile then enhance for larger,Start with mobile styles then add breakpoints,Desktop-first causing mobile issues,Default mobile + md: lg: xl:,Desktop default + max-width queries,Medium
65,Responsive,Breakpoint Testing,Web,Test at all common screen sizes,Test at 320 375 414 768 1024 1440,Only test on your device,Multiple device testing,Single device development,Medium
66,Responsive,Touch Friendly,Web,Mobile layouts need touch-sized targets,Increase touch targets on mobile,Same tiny buttons on mobile,Larger buttons on mobile,Desktop-sized targets on mobile,High
67,Responsive,Readable Font Size,All,Text must be readable on all devices,Minimum 16px body text on mobile,Tiny text on mobile,text-base or larger,text-xs for body text,High
68,Responsive,Viewport Meta,Web,Set viewport for mobile devices,Use width=device-width initial-scale=1,Missing or incorrect viewport,<meta name='viewport'...>,No viewport meta tag,High
69,Responsive,Horizontal Scroll,Web,Avoid horizontal scrolling,Ensure content fits viewport width,Content wider than viewport,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile,High
70,Responsive,Image Scaling,Web,Images should scale with container,Use max-width: 100% on images,Fixed width images overflow,max-w-full h-auto,width='800' fixed,Medium
71,Responsive,Table Handling,Web,Tables can overflow on mobile,Use horizontal scroll or card layout,Wide tables breaking layout,overflow-x-auto wrapper,Table overflows viewport,Medium
72,Typography,Line Height,All,Adequate line height improves readability,Use 1.5-1.75 for body text,Cramped or excessive line height,leading-relaxed (1.625),leading-none (1),Medium
73,Typography,Line Length,Web,Long lines are hard to read,Limit to 65-75 characters per line,Full-width text on large screens,max-w-prose,Full viewport width text,Medium
74,Typography,Font Size Scale,All,Consistent type hierarchy aids scanning,Use consistent modular scale,Random font sizes,Type scale (12 14 16 18 24 32),Arbitrary sizes,Medium
75,Typography,Font Loading,Web,Fonts should load without layout shift,Reserve space with fallback font,Layout shift when fonts load,font-display: swap + similar fallback,No fallback font,Medium
76,Typography,Contrast Readability,All,Body text needs good contrast,Use darker text on light backgrounds,Gray text on gray background,text-gray-900 on white,text-gray-400 on gray-100,High
77,Typography,Heading Clarity,All,Headings should stand out from body,Clear size/weight difference,Headings similar to body text,Bold + larger size,Same size as body,Medium
78,Feedback,Loading Indicators,All,Show system status during waits,Show spinner/skeleton for operations > 300ms,No feedback during loading,Skeleton or spinner,Frozen UI,High
79,Feedback,Empty States,All,Guide users when no content exists,Show helpful message and action,Blank empty screens,No items yet. Create one!,Empty white space,Medium
80,Feedback,Error Recovery,All,Help users recover from errors,Provide clear next steps,Error without recovery path,Try again button + help link,Error message only,Medium
81,Feedback,Progress Indicators,All,Show progress for multi-step processes,Step indicators or progress bar,No indication of progress,Step 2 of 4 indicator,No step information,Medium
82,Feedback,Toast Notifications,All,Transient messages for non-critical info,Auto-dismiss after 3-5 seconds,Toasts that never disappear,Auto-dismiss toast,Persistent toast,Medium
83,Feedback,Confirmation Messages,All,Confirm successful actions,Brief success message,Silent success,Saved successfully toast,No confirmation,Medium
84,Content,Truncation,All,Handle long content gracefully,Truncate with ellipsis and expand option,Overflow or broken layout,line-clamp-2 with expand,Overflow or cut off,Medium
85,Content,Date Formatting,All,Use locale-appropriate date formats,Use relative or locale-aware dates,Ambiguous date formats,2 hours ago or locale format,01/02/03,Low
86,Content,Number Formatting,All,Format large numbers for readability,Use thousand separators or abbreviations,Long unformatted numbers,"1.2K or 1,234",1234567,Low
87,Content,Placeholder Content,All,Show realistic placeholders during dev,Use realistic sample data,Lorem ipsum everywhere,Real sample content,Lorem ipsum,Low
88,Onboarding,User Freedom,All,Users should be able to skip tutorials,Provide Skip and Back buttons,Force linear unskippable tour,Skip Tutorial button,Locked overlay until finished,Medium
89,Search,Autocomplete,Web,Help users find results faster,Show predictions as user types,Require full type and enter,Debounced fetch + dropdown,No suggestions,Medium
90,Search,No Results,Web,Dead ends frustrate users,Show 'No results' with suggestions,Blank screen or '0 results',Try searching for X instead,No results found.,Medium
91,Data Entry,Bulk Actions,Web,Editing one by one is tedious,Allow multi-select and bulk edit,Single row actions only,Checkbox column + Action bar,Repeated actions per row,Low
92,AI Interaction,Disclaimer,All,Users need to know they talk to AI,Clearly label AI generated content,Present AI as human,AI Assistant label,Fake human name without label,High
93,AI Interaction,Streaming,All,Waiting for full text is slow,Stream text response token by token,Show loading spinner for 10s+,Typewriter effect,Spinner until 100% complete,Medium
94,Spatial UI,Gaze Hover,VisionOS,Elements should respond to eye tracking before pinch,Scale/highlight element on look,Static element until pinch,hoverEffect(),onTap only,High
95,Spatial UI,Depth Layering,VisionOS,UI needs Z-depth to separate content from environment,Use glass material and z-offset,Flat opaque panels blocking view,.glassBackgroundEffect(),bg-white,Medium
96,Sustainability,Auto-Play Video,Web,Video consumes massive data and energy,Click-to-play or pause when off-screen,Auto-play high-res video loops,playsInline muted preload='none',autoplay loop,Medium
97,Sustainability,Asset Weight,Web,Heavy 3D/Image assets increase carbon footprint,Compress and lazy load 3D models,Load 50MB textures,Draco compression,Raw .obj files,Medium
98,AI Interaction,Feedback Loop,All,AI needs user feedback to improve,Thumps up/down or 'Regenerate',Static output only,Feedback component,Read-only text,Low
99,Accessibility,Motion Sensitivity,All,Parallax/Scroll-jacking causes nausea,Respect prefers-reduced-motion,Force scroll effects,@media (prefers-reduced-motion),ScrollTrigger.create(),High100,AI UX,Streaming Text Rendering,Web/Mobile/App,Streaming AI responses must be rendered token-by-token visibly. Never batch-reveal or delay the entire response. Show a blinking cursor during streaming. Indicate clearly when streaming has finished.,Append tokens as they arrive; show blinking cursor during stream; display a subtle Done indicator when complete,Don't buffer the full response and flash it — users assume the AI is frozen; don't remove the cursor too abruptly,// Vercel AI SDK: const { messages } = useChat(); messages.map(m => <p>{m.content}{m.role==='assistant' && isLoading && <span className='cursor-blink'>|</span>}</p>),// Bad: setState(fullResponse) after fetch resolves — user sees nothing for 5s then wall of text,Critical
101,AI UX,AI Confidence Communication,Web/App,"When AI outputs have variable certainty, communicate confidence levels visually. Never show uncertain AI output with the same visual weight as verified data. Use confidence bars, hedging language, or color coding.","Show a confidence indicator (low/med/high) beside AI-generated fields; use amber for uncertain, neutral for confident",Don't present AI-generated data identically to human-verified data — users will trust it incorrectly,"<AIField confidence=""low"" label=""Predicted salary range""><span className=""confidence-low"">$45k–$55k</span><ConfidenceBar level=""low"" /></AIField>","<p>Predicted salary: $50,000</p> // No confidence context",High
102,AI UX,Human-in-the-Loop Edit Gate,Web/App,"AI-generated content that will be committed (saved, sent, published) must require explicit human confirmation. Never auto-commit AI output. Always show an editable preview before any AI result becomes permanent.",Show AI draft in an editable field; require explicit Save/Confirm action; allow full edit before committing,Don't auto-save AI output without user review; don't disable the editing field when showing AI suggestion,"<AIPreview editable value={aiDraft} onConfirm={save} onEdit={setDraft} label=""Review before saving"" />",// Bad: await api.save(aiResponse) // saved without user review,Critical
103,Command Palette,Discoverability Without Clutter,Web/Desktop,"CMD+K command palette is a power feature. Surface its existence with a subtle hint (search bar placeholder, keyboard shortcut badge in header) without forcing it on new users. Do not require it for primary tasks.",Add CMD+K hint in header search bar placeholder; show keyboard badge in navigation; use it as a shortcut not a requirement,Don't hide all navigation behind CMD+K only; don't show a tutorial popup on first visit,"<SearchBar placeholder=""Search or press ⌘K"" /> <kbd className=""shortcut-badge"">⌘K</kbd>",<button onClick={openAll}>Use CMD+K to navigate</button> // Only option,Medium
104,Collaborative UI,Conflict Prevention Over Resolution,Web/App,"Design collaborative UIs to prevent conflicts, not just resolve them. Show who is editing what in real time. Lock or warn before two users edit the same field. Optimistic UI must reconcile divergence gracefully.",Show field-level editing locks (dim + avatar badge); warn before overwriting; resolve conflicts with last-write-wins + history,Don't silently overwrite another user's edit; don't show merge conflicts as raw JSON diffs,<FieldWithPresence editingUser={others.find(o => o.focus === fieldId)} onFocus={broadcastFocus} />,// Bad: await api.save(localValue) // last-write-wins silently overwrites,High
105,Progressive Disclosure,Never Hide Critical Information,Web/Mobile,"Progressive disclosure reduces overwhelm but must never hide information users need to make a decision. Primary action, price, key risks, and required fields must always be visible. Only secondary/advanced options are hidden.","Show price, main CTA, and required fields always visible; hide advanced options behind Show more","Don't hide mandatory fields, pricing, or cancellation terms behind a Show more","<PrimaryForm /><Collapsible trigger=""Advanced options""><AdvancedOptions /></Collapsible>",<Collapsible trigger='See all fields'><Price /><RequiredField /></Collapsible> // Bad — required info hidden,High
106,Empty State Design,Actionable Empty States,Web/Mobile,"Empty states are conversion moments. Every empty state must have: a clear reason why it is empty, an illustration or icon (optional), and a primary action button that directly creates the first item. Never show a plain 'No data' message.",Show illustration + headline + 1-sentence explanation + primary CTA button ('Create your first X'),Don't show only 'No records found' with no action; don't use generic 'empty' wording,"<EmptyState icon={<FileIcon />} title=""No invoices yet"" description=""Create your first invoice to get started."" action={<Button>Create Invoice</Button>} />","<p>No data found.</p> // No action, no context",High
107,Form UX,Inline Validation Timing,Web/Mobile,"Validate on blur (when user leaves a field), not on keypress. Show success state on valid blur. Show error only after the user has had a chance to complete the field. Never show errors on a pristine/untouched field.",Validate onBlur; show green check on valid; show red error message below field on invalid blur; re-validate onChange after first error,Don't validate onKeyDown before user finishes typing; don't show errors on untouched fields on submit,"input.addEventListener('blur', () => { if (!isValid(input.value)) showError(); else showSuccess(); }); // Re-validate on change after first error","input.addEventListener('keydown', validateField); // Bad — errors flash while typing",High
108,Drag & Drop UX,Keyboard Alternative Required,Web,Every drag-and-drop interaction must have a keyboard-accessible alternative. Drag to reorder must also work with arrow keys + Enter. Drag to delete must have a Delete key or button alternative. WCAG 2.5.1 requires this.,"Implement keyboard reorder (arrow keys change position, Enter/Space picks up/drops); show keyboard hint on focus",Don't ship drag-only interactions without keyboard equivalent; don't hide the keyboard instructions,"// dnd-kit: useSortable provides keyboard sensors out of the box. keyboardSensor = useSensor(KeyboardSensor, { coordinateGetter: sortableKeyboardCoordinates })",// Bad: draggable={true} with no keyboard alternative,Critical
109,Onboarding UX,Progress Checklist Over Tooltips,Web/App,"For SaaS onboarding, a persistent progress checklist (X of 5 steps complete) outperforms sequential tooltip tours. Tooltip tours break when users skip steps or navigate away. Checklists are revisitable and skippable.",Show an onboarding checklist in sidebar/dashboard with clickable items; mark completed; show % progress; allow dismiss,Don't use a linear tooltip tour that blocks the UI; don't require completing step N before step N+1 if steps are independent,"<OnboardingChecklist steps={[{id:'profile',label:'Complete profile',done:user.profileComplete}]} />","<Tooltip force-open target='#nav-item'>First, click here</Tooltip> // Breaks on navigation",Medium
110,Data Visualization UX,Zero-State and Loading Parity,Web/App,"Charts and data widgets must have three states styled to the same quality: loading (skeleton matching chart shape), empty (actionable empty state), and error (retry action). A spinner in a chart slot is worse than a content-shaped skeleton.","Build BarChartSkeleton, LineChartSkeleton etc. that match chart proportions; show chart-shaped skeleton during load",Don't show a generic spinner in a 400px tall chart slot; don't show blank white space,<ChartWidget loading={<BarChartSkeleton />} empty={<EmptyChartState action={addData} />} error={<ChartError retry={refetch} />} />,<div>{loading ? <Spinner /> : <Chart data={data} />}</div> // Spinner in chart slot,High
111,Mobile UX,Bottom Navigation vs Hamburger,Mobile,"For mobile apps with 3-5 primary sections, always use a bottom navigation bar. Hamburger menus hide navigation and reduce discoverability by 50%+. Reserve hamburger only for secondary/overflow items (6+ items).",Use bottom nav tabs for 3-5 primary sections; icons + labels; active state clear; safe-area-inset-bottom respected,Don't use hamburger menu for primary navigation on mobile; don't put more than 5 items in bottom nav,"<BottomNav items={[{icon:<HomeIcon/>,label:""Home""},{icon:<SearchIcon/>,label:""Search""}]} activeTab={tab} />","<HamburgerMenu primaryLinks={[home, search, profile]} /> // Primary nav hidden",High
112,Performance UX,Optimistic UI Updates,Web/App,"Apply optimistic updates for all user-initiated state changes with near-certain success (like/unlike, reorder, delete, toggle). Update the UI immediately, then confirm or revert on API response. Waiting 300-800ms before UI responds feels broken.",Update local state immediately on user action; send API request in background; revert with toast if API fails,Don't wait for API response before updating UI on simple toggles; don't show a loading spinner for sub-500ms operations,"// React Query: useMutation({ onMutate: async (newVal) => { await queryClient.cancelQueries(['item']); const prev = queryClient.getQueryData(['item']); queryClient.setQueryData(['item'], newVal); return { prev }; }, onError: (err, _, ctx) => queryClient.setQueryData(['item'], ctx.prev) })",// Bad: await api.toggle(id); then setLocalState() // 800ms lag visible to user,High
113,Accessibility UX,Focus Management on Dynamic Content,Web,"When a modal opens, focus must move to the first interactive element inside it. When a modal closes, focus must return to the trigger button. When a page section updates (SPA route change), focus must move to the new page heading.",Use dialog role with autoFocus on first input; return focus to trigger on close; announce route changes to screen readers,Don't leave focus on the element behind a modal overlay; don't forget to return focus on close,"// Radix Dialog does this automatically. Manual: useEffect(() => { dialogRef.current?.querySelector('input,button')?.focus(); }, [open]);",// Bad: <div role='dialog'> with no focus management — keyboard users are stranded,Critical
114,Color UX,Never Convey State by Color Alone,Web/Mobile,Color alone must never be the only indicator of state. Error fields need both red color AND an error icon AND a text message. Success needs both green AND a check icon. Required fields need both red asterisk AND label text. WCAG 1.4.1.,"Combine color + icon + text label for every state: error (red + X icon + message), success (green + check + message)",Don't use color-only indicators; red border alone is insufficient for colorblind users,"<FormField error={!!errors.email}><Input className={errors.email ? ""border-red-500"" : """"} /><ErrorIcon /><p>{errors.email?.message}</p></FormField>","<Input className={errors.email ? ""border-red-500"" : ""border-gray-300""} /> // Color only",Critical
115,Conversion UX,One Primary Action Per Screen,Web/Mobile,"Every screen should have exactly one primary CTA. When there are multiple equal CTAs, users freeze (paradox of choice). Demote secondary actions visually (ghost button, text link, dropdown). The primary button must be the highest contrast element on screen.",One solid primary button per screen; secondary actions as outline/ghost; tertiary as text links or in overflow menu,Don't show two solid primary buttons side-by-side; don't give equal visual weight to primary and secondary CTAs,<PrimaryButton>Save and publish</PrimaryButton><GhostButton>Save as draft</GhostButton><TextLink>Discard changes</TextLink>,<PrimaryButton>Publish</PrimaryButton><PrimaryButton>Save Draft</PrimaryButton> // Two equal-weight CTAs,High
116,HRMS,Employee Profile Card Design,Web/App,"Employee profile cards must show: avatar (with fallback initials), name, designation, department, and quick-action buttons. Never show sensitive data (salary, PAN, bank) on cards visible in lists. Quick actions: message, view profile, edit (if permitted).","Show avatar (64px), name bold, designation muted, department badge, 2-3 quick action icons; use initials fallback for missing avatar","Don't show salary, bank details, or PAN on list cards; don't use generic placeholder avatars","<EmployeeCard avatar={emp.photo || initials(emp.name)} name={emp.name} designation={emp.designation} department={emp.department} actions={[viewProfile, message]} />",<Card>{emp.name} - {emp.salary} - {emp.pan}</Card> // Sensitive data exposed,Critical
117,HRMS,Leave Balance Widget,Web/App,"Leave balance widgets must show: leave type, available days, used days, and total quota. Use color coding (green for available, amber for low, red for exhausted). Show accrual date if applicable. Never show negative balance without explanation.","Circular or bar progress for each leave type; color-code: green >50%, amber 20-50%, red <20%; show ""Accrues on [date]"" for pending",Don't show raw numbers without visual progress; don't allow negative display without note,"<LeaveBalance type=""Casual"" available={5} used={7} total={12} status=""low"" accrualDate=""1st Apr"" />","<p>CL: 5</p> // No context, no visual, no status",High
118,HRMS,Attendance Calendar Heatmap,Web/App,"Attendance views must use calendar heatmaps with clear color coding: present (green), absent (red), half-day (amber), holiday (blue), weekend (gray). Show legend. Allow click to view day details. Mobile: show week view by default.",Month calendar grid with color-coded cells; legend visible; hover/click for day details; filter by status; mobile week view,Don't use same color for all days; don't require scrolling to see legend; don't hide weekends,"<AttendanceCalendar data={monthData} legend={[present,absent,halfDay,holiday,weekend]} onDayClick={showDetails} />","<table>{days.map(d => <td>{d.status}</td>)}</table> // No colors, no interactivity",High
119,HRMS,Payslip Component Design,Web/App,"Payslips must clearly separate: earnings (left/top), deductions (right/bottom), and net pay (prominent). Use table layout for line items. Show YTD totals. Provide download PDF button. Never expose payslip in URLs or logs.","Two-column or stacked layout; earnings green-tinted header, deductions red-tinted; net pay large and bold; PDF download; print-friendly",Don't mix earnings and deductions in one list; don't show payslip ID in URL; don't log salary amounts,"<Payslip earnings={[basic,hra,bonus]} deductions={[pf,tax,lwp]} netPay={amount} ytd={ytdData} onDownload={downloadPDF} />","<div>{items.map(i => <p>{i.name}: {i.amount}</p>)}</div> // Mixed, no separation",Critical
120,HRMS,Approval Workflow UI,Web/App,"Approval workflows must show: current stage (highlighted), completed stages (checkmark), pending stages (dimmed), and timeline. Show approver name and timestamp for completed stages. Pending stage shows expected approver. Allow one-click approve/reject with required comment for reject.","Horizontal or vertical stepper; completed=green check; current=pulsing; pending=gray; show approver+timestamp; approve button primary, reject button destructive with required comment",Don't hide the workflow stages; don't allow reject without comment; don't show only current stage,<ApprovalWorkflow stages={stages} currentStage={2} onApprove={approve} onReject={rejectWithComment} />,<button onClick={approve}>Approve</button><button onClick={reject}>Reject</button> // No workflow visibility,High
121,HRMS,Organization Hierarchy Tree,Web/App,"Org charts must support: expand/collapse nodes, search by name, zoom controls, and export. Show photo+name+designation per node. Highlight current user. Support both tree and list views. Large orgs: lazy-load branches.",Tree with expand/collapse; search filters and highlights; zoom controls; photo+name+title per node; current user highlighted; list view toggle; lazy-load for 500+ nodes,Don't load entire org tree upfront for large orgs; don't use only horizontal scroll,"<OrgChart data={orgData} currentUser={userId} onSearch={filter} lazyLoad={nodes > 500} views={[tree, list]} />",<ul>{employees.map(e => <li>{e.name} reports to {e.manager}</li>)}</ul> // No hierarchy visual,High
122,HRMS,Bulk Action Confirmation,Web/App,"Bulk actions (salary processing, mass leave approval, bulk termination) must show: count of affected records, summary of action, affected employee names (up to 10, then +N more), and require explicit confirmation. Show processing progress for long operations.","Modal with affected count prominent; list up to 10 names; ""+N more"" link to full list; action summary; confirm button requires typing ""CONFIRM"" for destructive; progress bar for processing",Don't process bulk actions without confirmation modal; don't hide affected count; don't allow one-click destructive bulk actions,"<BulkConfirmModal action=""Process Salary"" affected={employees} count={150} destructive={false} onConfirm={process} showProgress={true} />","processAll(selectedIds) // No confirmation, no preview",Critical
