No,Category,Intensity Tier,Keywords,Trigger,Duration,Easing,GSAP Snippet,Framework Notes,Do,Don't,Performance Notes
11,Page Transition,Standard,"route change, slide, overlay wipe",route change,400-600ms,power2.inOut,"const tl = gsap.timeline(); tl.to('.transition-overlay', { yPercent: 0, duration: 0.4, ease: 'power2.inOut' }).call(navigate).to('.transition-overlay', { yPercent: -100, duration: 0.4, ease: 'power2.inOut', delay: 0.1 });",Keep the overlay element mounted at the layout root (outside the page component) so it survives the route swap,Show a lightweight loading indicator if the destination route's data fetch outlasts the overlay,Don't tie the overlay's reveal directly to data-fetch completion without a max-wait timeout; a slow API stalls the whole transition,Prefer CSS transform (yPercent) over top/left to keep the overlay animation on the compositor thread
12,Page Transition,Complex,"shared element, morph, hero transition",route change,500-800ms,expo.inOut,"const state = Flip.getState('.hero-image'); navigate(); Flip.from(state, { duration: 0.6, ease: 'expo.inOut', absolute: true, zIndex: 100 });",Requires the GSAP Flip plugin; the 'from' and 'to' route must render the same element with a shared data-flip-id,Verify the shared element exists in both DOM states before calling Flip.from to avoid a silent no-op,Don't use shared-element transitions across more than one element pair per navigation; compounding Flips are hard to time correctly,Flip recalculates layout (FLIP technique) so test on low-end devices for jank
13,Parallax Scroll,Subtle,"parallax, background, depth, scroll speed",scroll (continuous),tied to scroll position,linear (scrub),"gsap.to('.bg-layer', { yPercent: 10, ease: 'none', scrollTrigger: { trigger: section, scrub: true } });","Apply parallax to background/decorative layers only, never to text or interactive controls",Keep the yPercent delta small (5-15) so foreground and background never desync distractingly,Don't parallax body copy; it hurts reading comfort and can trigger motion sickness,will-change: transform on the parallax layer only; remove it after scroll settles to free GPU memory
14,Parallax Scroll,Standard,"multi-layer parallax, depth, hero background",scroll (continuous),tied to scroll position,linear (scrub),"gsap.utils.toArray('.parallax-layer').forEach((layer, i) => { gsap.to(layer, { yPercent: (i + 1) * -8, ease: 'none', scrollTrigger: { trigger: layer.parentElement, scrub: 0.5 } }); });",Layer count beyond 3-4 has diminishing visual return and multiplies scroll-listener cost,"Vary speed per layer (background slowest, foreground fastest) to sell the depth illusion",Don't let parallax layers overflow their container; clip with overflow: hidden on the wrapper,Batch all layers under one ScrollTrigger container where possible instead of one per layer
15,Loading / Skeleton,Subtle,"loading, skeleton, shimmer, pulse",on mount / async wait,1200-1600ms loop,sine.inOut,"gsap.to('.skeleton', { backgroundPosition: '200% 0', duration: 1.4, ease: 'sine.inOut', repeat: -1 });",Kill the loop tween (tween.kill()) as soon as real content mounts to avoid orphaned repeating animations,Use a CSS gradient background-position sweep rather than opacity pulsing; reads as 'loading' more clearly,Don't run more than one shimmer loop per skeleton group; sync them under one timeline so the wave reads as a single unit,repeat: -1 tweens are cheap but must be explicitly killed on unmount or they leak in SPA route changes
16,Loading / Skeleton,Standard,"progress, spinner, morphing loader",on mount / async wait,800-1200ms loop,power1.inOut,"gsap.timeline({ repeat: -1 }).to('.loader-dot', { y: -8, duration: 0.4, stagger: { each: 0.15, yoyo: true, repeat: 1 } });",Wrap the whole loop timeline in useGSAP with { revertOnUpdate: false } in React so it isn't rebuilt every render,Cap total loop duration under ~1.5s so long waits don't feel like the UI froze on a single beat,Don't use elaborate loaders for sub-300ms waits; they flash and feel worse than no indicator,Pause the timeline (tl.pause()) when the loading tab/view is not visible to save CPU on background tabs
17,Button Press Feedback,Subtle,"button, press, click, CTA, tactile, confirmation",click/press,80-120ms,power2.out,"gsap.to(btn, { scale: 0.96, duration: 0.08, ease: 'power2.out', onComplete: () => gsap.to(btn, { scale: 1, duration: 0.12, ease: 'elastic.out(1.2, 0.5)' }) });",In React prefer Framer Motion's whileTap={{ scale: 0.96 }} for simpler setup; with plain GSAP bind to onMouseDown/onPointerDown,Keep scale reduction to 0.94-0.97 so it reads as tactile without looking broken,Never animate padding or width on press - transform only to avoid layout reflow,Scale is compositor-only - zero layout thrash; also fires correctly on mobile touch events
18,Form Field Focus,Subtle,"input, focus, form, label, float, validation, field interaction",focus/blur,150-200ms,power1.out,"gsap.to(label, { y: -20, scale: 0.8, color: '#6366F1', duration: 0.15, ease: 'power1.out' }); gsap.to(input, { borderColor: '#6366F1', boxShadow: '0 0 0 3px rgba(99,102,241,0.1)', duration: 0.15 });",Prefer CSS transitions for simple border/shadow focus states; use GSAP only when floating label requires JS to track value state,Animate the label float on focus AND on value-not-empty so it stays up after the user types,Don't animate the label back down while the field still has a value - check value.length before reversing,Focus ring animation is GPU-cheap; always provide a CSS :focus-visible fallback if JS fails
19,Toggle / Switch,Standard,"toggle, switch, checkbox, boolean, on/off, preference, settings",click,200-250ms,"elastic.out(1.2, 0.5)","gsap.to(thumb, { x: isOn ? trackWidth - thumbSize - gap : 0, duration: 0.22, ease: 'elastic.out(1.2, 0.5)' }); gsap.to(track, { backgroundColor: isOn ? '#6366F1' : '#D1D5DB', duration: 0.2, ease: 'power1.out' });",Sync animation with actual state change; fire tween in React state update callback or Vue watcher after state is committed,Add subtle squish (scale 0.85 -> 1) on the thumb at transition start for a physical feel,Don't allow re-click mid-animation; disable pointer-events for 250ms after click to prevent state race,Use transform: translateX only - never left/margin for thumb position
20,Toast / Notification,Standard,"toast, notification, alert, success, error, snackbar, feedback message",triggered,300-400ms in / 250ms out,back.out(1.4) in / power2.in out,"gsap.fromTo(toast, { y: 24, opacity: 0, scale: 0.9 }, { y: 0, opacity: 1, scale: 1, duration: 0.35, ease: 'back.out(1.4)' }); // dismiss: gsap.to(toast, { y: -8, opacity: 0, scale: 0.95, duration: 0.25, ease: 'power2.in', onComplete: removeToast });",Stack multiple toasts by translating existing ones (y += toastHeight + gap) before the new one enters; use a queue manager,Spring-out on entrance so arrivals feel alive; sharp ease-in on dismiss so they leave quickly,Don't auto-dismiss error/action toasts without a minimum 5s duration,Remove the toast node in onComplete (not just hide it) to keep the a11y tree clean
21,CSS Scroll-Driven,Subtle,"scroll reveal, native CSS, no JS, animation-timeline, view(), entry reveal",scroll (native CSS),entry 0% to entry 60%,linear (scroll-linked),@keyframes revealUp { from { opacity: 0; translate: 0 32px; } to { opacity: 1; translate: 0 0; } } .reveal { animation: revealUp linear both; animation-timeline: view(); animation-range: entry 0% entry 60%; },"Pure CSS — no GSAP, no JS. Add @media (prefers-reduced-motion: reduce) { .reveal { animation: none; opacity: 1; } }. Polyfill available for Safari < 18.",Use for simple reveal-on-scroll; it is compositor-only and zero JS,Don't use for cross-element orchestration or complex timelines — GSAP ScrollTrigger is better there,Compositor-thread only — no layout or paint; zero JS runtime cost
22,View Transitions API,Standard,"page morph, shared element, route transition, MPA, SPA, crossfade",route change / DOM update,200-400ms,ease-in-out,document.startViewTransition(() => { updatePageContent(); }); // shared element: el.style.viewTransitionName = 'hero-' + id; ::view-transition-old(root) { animation: fade-out 200ms ease; } ::view-transition-new(root) { animation: fade-in 200ms ease; },Always guard: if (!document.startViewTransition) { updateDOM(); return; }. Next.js: use unstable_ViewTransition from React 19 or Astro native support.,Give each morphing element a unique view-transition-name; use data-id patterns for lists,Don't apply view-transition-name to more than ~10 elements at once — too many active transitions degrade performance,Browser-native compositing; faster than JS-driven FLIP; zero additional library needed
23,Drag & Drop Feedback,Standard,"drag, drop, sortable, file drop, reorder, DnD, drag-over, drop-zone",dragstart / drag / dragend,150-200ms feedback,power2.out,"// Drag ghost: gsap.to(dragEl, { scale: 1.05, boxShadow: '0 20px 40px rgba(0,0,0,0.2)', duration: 0.15, ease: 'power2.out' }); // Drop zone active: gsap.to(dropZone, { scale: 1.02, borderColor: '#6366F1', duration: 0.15 }); // Drop complete: gsap.fromTo(item, { scale: 1.05 }, { scale: 1, duration: 0.25, ease: 'elastic.out(1.2, 0.5)' });",Use dnd-kit or @dnd-kit/sortable for accessible DnD. Framer Motion layout animations automatically animate reorder. GSAP for the visual polish layer on top.,Show drag ghost at scale(1.05) with elevated shadow; show drop zone highlight; spring-back on drop,Don't animate layout-affecting properties during drag — transform only,will-change: transform on draggable elements; use transform translate instead of top/left for position
24,Gesture Swipe (Mobile),Standard,"swipe, mobile gesture, swipe to dismiss, swipe to reveal, pull to refresh, slide gesture",touch / pointer events,200-300ms snap / 150ms dismiss,power2.out / expo.out,"const x = useMotionValue(0); const opacity = useTransform(x, [-100, 0], [0, 1]); // Framer Motion: <motion.div drag='x' dragConstraints={{ left: 0, right: 0 }} onDragEnd={(e, info) => { if (info.offset.x < -80) dismissItem(); else animate(x, 0); }} style={{ x }} />",Framer Motion drag is the easiest approach for React. GSAP Observer plugin handles pointer/touch/wheel in one API. Add snap-back spring when gesture not completed.,Give immediate visual feedback from frame 1 of gesture; do not wait for gesture to complete,Don't capture touch events without also providing a tap/click alternative for accessibility,Use transform: translateX only — never left or margin during gesture tracking to stay on compositor
25,Skeleton / Content-Aware Loading,Standard,"skeleton, loading, shimmer, content-aware, placeholder, ghost, progressive load",on data fetch / async,1000-1400ms shimmer loop,sine.inOut,"@keyframes shimmer { from { background-position: -200% 0; } to { background-position: 200% 0; } } .skeleton { background: linear-gradient(90deg, #f0f0f0 25%, #e0e0e0 50%, #f0f0f0 75%); background-size: 200% 100%; animation: shimmer 1.4s sine.inOut infinite; border-radius: 4px; }","Match skeleton shape exactly to final content layout (same height, same number of lines). Kill shimmer animation on data load. Use CSS animation (not GSAP) for zero JS dependency.",Match skeleton size to actual content size to prevent layout shift when data loads,Don't use a generic spinner instead of a content-shaped skeleton — layout shift feels worse,CSS animation on background-position is GPU-accelerated (no layout/paint); kill animation on unmount
26,Popover / Tooltip Reveal,Subtle,"tooltip, popover, hover card, floating UI, info bubble, placement aware",hover / focus / click,"120-200ms open, 80ms close",back.out(1.3) / power1.in,"gsap.fromTo(popover, { opacity: 0, scale: 0.85, transformOrigin: 'center bottom' }, { opacity: 1, scale: 1, duration: 0.15, ease: 'back.out(1.3)' }); // close: gsap.to(popover, { opacity: 0, scale: 0.85, duration: 0.08, ease: 'power1.in' });",Use Floating UI (@floating-ui/react) or Radix Tooltip for placement logic. GSAP handles the animation. Always set transform-origin toward the trigger element.,"Point transformOrigin toward the trigger (bottom for above, top for below) for correct origin scaling",Don't animate on every mouseover in a long list — use CSS :hover transitions there; reserve GSAP for rich popovers,Transform+opacity only; popover is position: absolute so no layout impact
27,Number / Counter Animation,Subtle,"counter, number, stat, KPI, count-up, odometer, metric animation",scroll enter / data load,800-1500ms,power2.out,"gsap.from(el, { textContent: 0, duration: 1.2, ease: 'power2.out', snap: { textContent: 1 }, scrollTrigger: { trigger: el, start: 'top 85%', once: true } });",GSAP snap: { textContent: 1 } rounds to integer. Use Intl.NumberFormat inside onUpdate for comma-separated formatting. Set once: true so it does not replay on scroll-back.,Combine with a subtle scale(1.05) on the element for a satisfying pop at start,"Don't animate decimals unless the metric naturally has them — jarring to show 1,234.37 counting up",textContent writes are cheap; scrollTrigger once:true means it fires only once per session
28,Modal / Dialog Open-Close,Standard,"modal, dialog, overlay, lightbox, sheet, open close animation",open / close trigger,"250-350ms open, 200ms close",back.out(1.2) / power2.in,"// open: gsap.fromTo(modal, { opacity: 0, scale: 0.92, y: 12 }, { opacity: 1, scale: 1, y: 0, duration: 0.3, ease: 'back.out(1.2)' }); gsap.fromTo(overlay, { opacity: 0 }, { opacity: 1, duration: 0.25 }); // close: gsap.to(modal, { opacity: 0, scale: 0.96, y: 8, duration: 0.2, ease: 'power2.in', onComplete: removeModal });",Radix Dialog / shadcn Dialog handles focus trap and a11y — add GSAP as a data-state=open/closed animation instead of using the default CSS. Use AnimatePresence in Framer Motion for unmount animation.,Focus the first interactive element inside the modal after open animation completes,Don't animate the overlay and modal independently with different durations — they should feel like one unit,"Use will-change: transform, opacity on the modal element during animation, remove after close"
