workforce.routes.tsx,/wfm/weekoff-day-rules,WFM_WEEKOFF_DAY_RULES,super_admin|admin|wfm
workforce.routes.tsx,/wfm/branch-spoc-config,WFM_BRANCH_SPOC_CONFIG,super_admin|admin
workforce.routes.tsx,/business-command-center,BUSINESS_COMMAND_CENTER,9 roles
workforce.routes.tsx,/business-actions,BUSINESS_ACTION_QUEUE,11 roles

--- TABLE B: roles is LIVE (17 routes - path NOT in PAGE_CODE_BY_ROUTE, both roles AND Gate DB check must pass) ---
RouteFile,Path,PageCode,LiveRoles,WhyNotDead
finance.routes.tsx,/finance/process-pnl/:processId,FINANCE_PROCESS_PNL,pnlRoles,dynamic param unmatched
payroll.routes.tsx,/payroll/holiday-work,PAYROLL_HOLIDAY_WORK,super_admin|admin|wfm|payroll_head|payroll_branch,only sub-paths mapped
payroll.routes.tsx,/payroll/salary-verification,PAYROLL_SALARY_VERIFICATION,super_admin|payroll_head|branch_head|payroll_branch|wfm|process_manager|admin,not in map
payroll.routes.tsx,/payroll/tds-certificate-part-a,PAYROLL_TDS_PART_A,super_admin|admin|payroll_head|payroll|payroll_hr|finance,not in map
payroll.routes.tsx,/payroll/pf-management,PAYROLL_PF_MANAGEMENT,admin|super_admin|payroll_hr|payroll,not in map
performance.routes.tsx,/kpi/process-metrics,KPI_CONFIG,super_admin|admin|qa|tq_head|process_manager,not in map
performance.routes.tsx,/quality/file-audit,QUALITY_DASHBOARD,super_admin|admin|qa|quality_analyst|tq_head,not in map
performance.routes.tsx,/call-master/inbound/:projectKey,CALL_MASTER_INBOUND,8 roles,dynamic param unmatched
platform.routes.tsx,/super-admin/policy-engine,SUPER_ADMIN_POLICY_ENGINE,super_admin,not in map
platform.routes.tsx,/communication/templates,COMM_TEMPLATES,super_admin|admin|hr,not in map
platform.routes.tsx,/communication/dispatch,COMM_DISPATCH,super_admin|admin|hr,not in map
platform.routes.tsx,/communication/history,COMM_HISTORY,super_admin|admin|hr,not in map
platform.routes.tsx,/settings/communication-config,COMM_CONFIG,super_admin|admin,not in map
platform.routes.tsx,/settings/call-centre-config,CALL_CENTRE_CONFIG,super_admin|admin,not in map
workforce.routes.tsx,/wfm/weekoff-fairness,WFM_WEEKOFF_FAIRNESS,super_admin|admin|wfm,not in map
workforce.routes.tsx,/wfm/break-desk-devices,WFM_BREAK_DESK_DEVICES,super_admin|admin|wfm,not in map
recruitment.routes.tsx,/recruitment/ijp,ijp_admin,super_admin|hr|hr_admin|recruitment_hr,not in map

PRACTICAL IMPLICATION FOR UAT: for every Table A row, "does role X see this page" must be
validated against the live role_page_access DB grant for that pageCode - the roles array in
the route file is cosmetic and can legitimately diverge from real behavior without being a
bug. For Table B rows, BOTH the roles array AND the DB grant must independently pass.
